participant_id,age,sex,trip_id,trip_mode,trip_duration
199091,39,male,1990912,bus,50
172181,57,male,1721812,car,10
P015952,43,female,P0159521,pedestrian,30
P012022,36,female,P0120224,car,40
P038551,60,female,P0385512,pedestrian,30
78161,32,male,781612,motorcycle,30
152482,73,female,1524824,pedestrian,5
334654,12,female,3346542,bus,60
334695,6,male,3346952,car,76
53492,39,female,534924,pedestrian,15
23523,29,female,235231,pedestrian,8
37163,19,female,371634,pedestrian,1
332934,19,female,3329341,car,85
P026882,25,female,P0268823,bus,180
302604,18,female,3026045,pedestrian,10
330186,15,male,3301863,cycle,40
P024671,36,male,P0246712,car,25
302602,50,female,3026026,pedestrian,5
53941,47,female,539411,car,45
30142,34,female,301421,car,30
44004,19,female,440042,bus,80
44714,11,female,447142,car,120
57352,32,female,573521,pedestrian,10
48772,20,male,487725,car,20
P075433,25,male,P0754332,pedestrian,20
P074801,64,female,P0748011,pedestrian,100
44295,50,female,442951,car,60
44475,20,male,444752,car,60
44056,5,male,440562,motorcycle,10
44283,15,male,442833,pedestrian,15
35773,51,female,357733,pedestrian,20
36034,12,male,360343,pedestrian,5
35743,28,female,357433,pedestrian,15
35663,8,male,356634,pedestrian,20
40273,14,male,402731,pedestrian,30
P040854,17,female,P0408543,bus,45
P042953,39,female,P0429531,bus,30
204491,27,female,2044912,car,20
203633,17,female,2036334,car,15
127721,42,male,1277211,car,80
128012,54,female,1280122,car,60
128202,58,female,1282022,car,30
31631,25,male,316312,bus,105
146872,32,female,1468722,bus,80
P075672,58,female,P0756722,taxi,15
P035005,33,male,P0350052,bus,40
113971,54,male,1139712,car,60
147001,37,female,1470012,bus,45
P076523,53,male,P0765231,rail,90
P085842,45,female,P0858421,bus,75
P076521,55,female,P0765211,taxi,30
329761,38,female,3297614,pedestrian,15
P080341,32,male,P0803413,car,30
84892,9,male,848921,car,60
P046832,22,male,P0468322,bus,120
104973,18,male,1049731,cycle,60
P022813,32,male,P0228137,pedestrian,5
P078834,12,male,P0788342,pedestrian,5
P083651,18,female,P0836511,pedestrian,10
147531,24,male,1475311,bus,60
P083661,19,female,P0836611,pedestrian,15
P083661,19,female,P0836612,pedestrian,3
153722,61,female,1537221,pedestrian,300
161501,25,female,1615012,pedestrian,2
330903,22,female,3309031,bus,180
P085831,29,male,P0858311,cycle,10
P085831,29,male,P0858316,bus,120
P085641,22,male,P0856414,pedestrian,10
P019721,51,male,P0197212,car,120
16941,65,male,169413,car,30
48301,69,male,483013,car,77
54092,46,female,540924,pedestrian,5
121533,33,male,1215332,car,210
P082243,45,female,P0822432,bus,135
154912,46,female,1549124,bus,15
171252,29,female,1712521,bus,60
P085992,77,male,P0859923,car,15
P085991,52,male,P0859911,bus,120
P085991,52,male,P0859912,bus,130
P085992,77,male,P0859921,car,15
P085992,77,male,P0859922,car,15
34414,24,female,344141,bus,60
P026784,17,male,P0267845,taxi,30
306804,10,male,3068042,pedestrian,5
211642,39,female,2116424,bus,30
187943,8,male,1879432,car,45
304212,21,female,3042125,bus,20
307264,6,female,3072643,bus,30
147561,56,male,1475611,bus,90
93763,19,female,937632,motorcycle,30
317071,71,male,3170711,bus,100
315912,24,male,3159121,bus,30
P027333,23,female,P0273332,bus,70
306192,60,female,3061926,bus,35
147583,59,female,1475832,pedestrian,40
P001313,29,male,P0013132,bus,120
20384,6,female,203841,pedestrian,8
342251,57,male,3422514,car,90
77171,54,female,771715,car,10
108634,37,male,1086342,motorcycle,30
314641,50,female,3146412,bus,45
303363,27,male,3033633,bus,65
52463,23,female,524632,bus,50
30453,18,female,304532,bus,60
108993,45,male,1089935,car,29
31482,40,female,314822,bus,30
37181,48,female,371811,pedestrian,10
320281,33,male,3202811,bus,20
320281,33,male,3202812,bus,20
67682,38,female,676822,bus,45
P050744,22,female,P0507443,bus,130
186911,59,female,1869112,pedestrian,5
141431,55,female,1414311,car,35
21321,46,female,213211,pedestrian,8
21321,46,female,213214,bus,45
343581,58,male,3435814,pedestrian,105
310691,28,male,3106914,car,15
7081,28,female,70812,car,30
200053,14,male,2000531,pedestrian,5
200053,14,male,2000533,bus,25
89923,18,male,899232,bus,100
89923,18,male,899231,bus,100
304785,17,male,3047854,bus,30
6031,33,male,60311,pedestrian,15
196111,20,male,1961111,bus,180
196111,20,male,1961113,pedestrian,20
17181,76,female,171814,pedestrian,5
202561,54,female,2025611,pedestrian,15
P040335,9,male,P0403351,pedestrian,15
P040335,9,male,P0403352,pedestrian,20
P040335,9,male,P0403353,pedestrian,10
209161,44,female,2091616,pedestrian,5
40902,37,female,409023,pedestrian,15
30551,54,female,305512,pedestrian,15
30551,54,female,305514,pedestrian,30
96251,56,male,962512,car,15
73186,29,female,731863,pedestrian,5
4551,69,male,45511,bus,105
P000831,39,male,P0008311,car,90
P032841,70,male,P0328411,car,60
157283,7,female,1572834,bus,5
P000832,43,female,P0008323,car,90
336292,49,female,3362926,car,25
P000832,43,female,P0008321,car,90
25363,15,male,253631,pedestrian,15
197556,27,female,1975562,pedestrian,60
