participant_id,age,sex,trip_id,trip_mode,trip_duration
891631,63,male,8916312,pedestrian,5
891631,63,male,89163181,pedestrian,5
2223031,60,male,222303114,bus,30
2223031,60,male,222303115,bus,30
2436001,80,male,24360011,pedestrian,5
2436001,80,male,24360012,pedestrian,5
2503451,46,male,25034511,car,35
2503451,46,male,250345122,car,75
2614701,58,female,26147011,pedestrian,20
2614701,58,female,26147012,pedestrian,20
2707301,54,male,27073011,car,30
2707301,54,male,27073012,car,75
2933451,64,female,29334511,pedestrian,30
2933451,64,female,29334512,taxi,10
3019481,62,male,30194811,pedestrian,5
3019481,62,male,30194812,pedestrian,5
3099741,64,female,30997411,pedestrian,4
3099741,64,female,30997412,pedestrian,4
3099741,64,female,30997413,pedestrian,4
3099741,64,female,30997414,pedestrian,4
3224821,62,male,32248211,bus,15
3224821,62,male,32248212,bus,15
3316791,45,male,33167911,rail,40
3316791,45,male,33167912,rail,60
3529851,61,male,35298513,pedestrian,5
3529851,61,male,35298515,pedestrian,5
3529851,61,male,352985133,pedestrian,25
3529851,61,male,352985140,bus,5
3596211,36,female,35962112,taxi,60
3596211,36,female,35962113,car,30
3636471,34,male,36364711,bus,30
3636471,34,male,36364712,taxi,25
3782371,66,female,37823711,rail,45
3782371,66,female,37823712,bus,40
3782371,66,female,37823713,taxi,30
3782371,66,female,37823714,taxi,40
3782371,66,female,37823715,bus,20
3782371,66,female,37823716,bus,30
4023391,21,male,40233911,pedestrian,10
4023391,21,male,40233912,pedestrian,5
4023391,21,male,40233918,rail,20
4023391,21,male,40233919,rail,30
4404841,79,female,44048411,bus,30
4404841,79,female,44048412,bus,55
4424531,79,male,44245311,car,15
4424531,79,male,44245312,car,10
4540071,90,female,45400711,car,20
4540071,90,female,45400712,car,20
4623241,28,male,46232411,bus,60
4623241,28,male,46232412,bus,60
4778661,33,male,47786617,rail,30
4778661,33,male,477866138,rail,60
4837951,30,female,48379511,bus,30
4837951,30,female,48379512,bus,30
5334541,83,female,53345413,pedestrian,30
5334541,83,female,53345414,pedestrian,15
5926561,26,female,592656113,pedestrian,5
5926561,26,female,592656141,pedestrian,30
5926561,26,female,592656142,pedestrian,40
5926561,26,female,592656143,pedestrian,5
5926561,26,female,592656144,pedestrian,10
6044441,32,male,60444411,motorcycle,30
6044441,32,male,604444113,motorcycle,30
6169961,60,male,61699611,bus,35
6169961,60,male,61699616,bus,30
6230611,61,female,62306111,bus,20
6230611,61,female,62306112,bus,20
6230611,61,female,62306114,pedestrian,10
6291941,23,female,62919411,pedestrian,20
6291941,23,female,62919413,pedestrian,15
6291941,23,female,629194111,pedestrian,20
6291941,23,female,629194112,pedestrian,15
6310871,42,male,63108711,motorcycle,30
6310871,42,male,63108712,motorcycle,30
