participant_id,age,sex,trip_id,trip_mode,trip_duration
2,57,Female,4,taxi,15
2,57,Female,2,bus,60
2,57,Female,3,pedestrian,20
2,57,Female,5,bus,20
2,57,Female,1,car,10
2,57,Female,6,pedestrian,5
2,35,Female,1,pedestrian,10
2,35,Female,6,bus,20
2,35,Female,4,pedestrian,12
2,35,Female,5,bus,15
2,35,Female,2,pedestrian,10
2,35,Female,3,pedestrian,10
2,46,Female,2,bus,120
2,46,Female,1,bus,120
2,50,Female,NA,NA,NA
3,12,Female,1,car,60
3,12,Female,4,bus,20
3,12,Female,2,car,50
3,12,Female,3,bus,15
3,15,Female,1,pedestrian,30
3,15,Female,2,car,30
1,51,Female,NA,NA,NA
3,52,Male,1,bus,30
1,56,Female,3,pedestrian,30
1,56,Female,2,pedestrian,30
1,56,Female,4,pedestrian,30
1,56,Female,1,pedestrian,15
2,24,Female,2,car,39
2,24,Female,1,car,30
3,37,Female,NA,NA,NA
1,58,Female,1,pedestrian,10
1,58,Female,2,pedestrian,25
1,58,Female,3,pedestrian,5
1,58,Female,4,pedestrian,22
2,57,Female,1,rail,126
2,57,Female,2,bus,130
2,57,Female,4,rail,110
2,57,Female,3,bus,120
3,56,Female,2,bus,30
3,56,Female,1,bus,80
3,56,Female,3,bus,30
1,49,Female,2,car,75
1,49,Female,1,car,40
3,20,Female,NA,NA,NA
2,50,Female,NA,NA,NA
1,56,Female,1,pedestrian,15
2,58,Female,NA,NA,NA
2,48,Female,1,bus,90
3,27,Female,1,bus,65
2,40,Female,2,pedestrian,25
2,40,Female,1,pedestrian,30
4,7,Female,2,pedestrian,10
4,7,Female,1,pedestrian,10
5,20,Female,1,bus,60
5,20,Female,2,bus,50
4,26,Female,NA,NA,NA
2,64,Female,1,bus,20
2,64,Female,2,taxi,40
3,23,Male,1,pedestrian,10
2,86,Female,NA,NA,NA
1,81,Female,NA,NA,NA
3,59,Female,2,pedestrian,5
3,59,Female,1,pedestrian,5
5,17,Female,1,bus,115
5,17,Female,2,bus,135
5,17,Female,4,pedestrian,25
5,17,Female,3,pedestrian,15
1,69,Female,2,bus,30
1,69,Female,1,bus,10
1,46,Male,2,bus,90
1,46,Male,1,bus,90
3,40,Female,NA,NA,NA
6,3,Male,NA,NA,NA
2,41,Female,1,pedestrian,15
2,41,Female,2,pedestrian,15
3,22,Female,1,bus,40
3,22,Female,2,bus,40
2,50,Female,NA,NA,NA
5,21,Female,1,bus,90
5,21,Female,2,taxi,120
4,28,Female,1,pedestrian,10
4,28,Female,2,pedestrian,10
6,11,Female,2,pedestrian,5
6,11,Female,1,pedestrian,5
2,13,Female,2,car,5
2,13,Female,1,car,28
2,18,Male,NA,NA,NA
2,45,Male,NA,NA,NA
4,17,Male,NA,NA,NA
1,80,Female,NA,NA,NA
2,55,Female,1,pedestrian,450
2,55,Female,2,pedestrian,10
3,18,Female,2,bus,75
3,18,Female,4,car,15
3,18,Female,3,pedestrian,20
3,18,Female,1,bus,60
2,33,Female,1,car,210
2,33,Female,2,car,135
2,33,Female,5,car,8
2,33,Female,4,car,45
2,33,Female,3,car,75
4,8,Female,1,car,30
4,8,Female,2,car,45
5,4,Female,NA,NA,NA
1,65,Female,2,bus,60
1,65,Female,1,taxi,60
2,43,Female,4,bus,60
2,43,Female,2,pedestrian,30
2,43,Female,1,pedestrian,15
2,43,Female,3,bus,60
1,68,Female,1,bus,60
2,57,Male,1,pedestrian,60
2,57,Male,3,pedestrian,15
2,57,Male,2,pedestrian,5
1,43,Male,2,other,20
1,43,Male,1,pedestrian,15
1,43,Male,3,pedestrian,95
