participant_id,age,sex,trip_id,trip_mode,trip_duration
7601801,50,female,760180101,pedestrian,30
7601801,50,female,760180102,pedestrian,30
7601802,19,female,760180201,bus,30
7601802,19,female,760180202,bus,40
4003401,61,female,400340101,pedestrian,120
4003401,61,female,400340102,pedestrian,30
4003402,38,female,400340201,pedestrian,5
4003402,38,female,400340202,pedestrian,5
4003403,33,female,400340301,car,10
4003403,33,female,400340302,car,20
4003403,33,female,400340303,car,20
4003403,33,female,400340304,car,10
4003403,33,female,400340305,car,5
4003403,33,female,400340306,car,8
4003403,33,female,400340307,bus,30
4003403,33,female,400340308,bus,30
4003201,38,female,400320101,bus,35
4003201,38,female,400320102,bus,800
4003203,56,female,400320301,car,30
4003203,56,female,400320302,car,20
4003203,56,female,400320303,car,20
4003203,56,female,400320304,car,20
4003204,19,female,400320401,motorcycle,65
4003204,19,female,400320402,motorcycle,15
4003204,19,female,400320403,pedestrian,4
4003204,19,female,400320404,pedestrian,10
4003104,56,female,400310401,pedestrian,5
4003104,56,female,400310402,pedestrian,5
4003104,56,female,400310403,pedestrian,5
4003104,56,female,400310404,pedestrian,5
4003105,54,female,400310501,pedestrian,20
4003105,54,female,400310502,pedestrian,20
4003108,29,female,400310801,motorcycle,25
4003108,29,female,400310802,motorcycle,25
4003109,20,female,400310901,motorcycle,15
4003109,20,female,400310902,motorcycle,20
4003110,24,female,400311001,pedestrian,50
4003110,24,female,400311002,pedestrian,22
4003110,24,female,400311003,pedestrian,20
4003110,24,female,400311004,pedestrian,28
4003112,09,female,400311201,pedestrian,5
4003112,09,female,400311202,pedestrian,5
4003001,25,female,400300101,bus,90
4003001,25,female,400300102,bus,60
4003002,22,female,400300201,pedestrian,15
4003002,22,female,400300202,pedestrian,25
4002901,51,female,400290101,cycle,50
4002901,51,female,400290102,cycle,50
4002903,21,female,400290301,taxi,10
4002903,21,female,400290302,taxi,10
4002801,61,female,400280101,bus,30
4002802,55,female,400280201,pedestrian,5
4002802,55,female,400280202,pedestrian,5
4002803,38,female,400280301,car,10
4002803,38,female,400280302,car,10
4002804,22,female,400280401,pedestrian,3
4002804,22,female,400280402,pedestrian,13
4002805,17,female,400280501,bus,50
4002805,17,female,400280502,bus,30
4002806,12,female,400280601,pedestrian,5
4002806,12,female,400280602,pedestrian,5
4002701,83,female,400270101,pedestrian,10
4002701,83,female,400270102,pedestrian,10
4002703,54,female,400270301,taxi,10
4002703,54,female,400270302,taxi,10
4002601,58,female,400260101,bus,75
4002601,58,female,400260102,car,40
4002501,23,female,400250101,motorcycle,25
4002501,23,female,400250102,motorcycle,45
4002501,23,female,400250103,motorcycle,10
4002501,23,female,400250104,motorcycle,50
4002502,42,female,400250201,motorcycle,40
4002502,42,female,400250202,motorcycle,40
4002301,49,female,400230101,pedestrian,15
4002301,49,female,400230102,pedestrian,15
4002203,15,female,400220301,bus,75
4002203,15,female,400220302,bus,85
4002102,37,female,400210201,bus,30
4002102,37,female,400210202,bus,40
4002001,48,female,400200102,car,45
4002002,46,female,400200201,car,45
4002002,46,female,400200202,car,45
4002003,14,female,400200301,pedestrian,30
4002003,14,female,400200302,pedestrian,30
4001801,52,female,400180101,car,30
4001801,52,female,400180102,car,30
4001802,50,female,400180201,car,30
4001802,50,female,400180202,car,25
4001802,50,female,400180203,car,20
4001802,50,female,400180204,car,60
4001803,20,female,400180301,car,60
4001803,20,female,400180302,bus,120
4001804,15,female,400180401,car,45
4001804,15,female,400180402,car,45
4001501,36,female,400150101,pedestrian,25
4001501,36,female,400150102,pedestrian,30
4001502,36,female,400150201,pedestrian,2
4001502,36,female,400150202,pedestrian,2
4001503,14,female,400150301,bus,40
4001503,14,female,400150302,bus,60
4001504,17,female,400150401,bus,30
4001504,17,female,400150402,bus,60
4001505,16,female,400150501,bus,240
4001505,16,female,400150502,bus,180
4001401,48,female,400140101,bus,45
4001401,48,female,400140102,bus,60
4001401,48,female,400140103,bus,105
4001402,21,female,400140201,cycle,40
4001402,21,female,400140202,cycle,240
4001403,23,female,400140301,taxi,22
4001403,23,female,400140302,bus,110
4001305,32,female,400130501,motorcycle,10
4001305,32,female,400130502,motorcycle,15
4001203,65,female,400120301,pedestrian,15
4001203,65,female,400120302,pedestrian,15
4001204,22,female,400120401,bus,30
4001204,22,female,400120402,bus,45
4001206,41,female,400120601,bus,50
4001206,41,female,400120602,bus,120
4001207,27,female,400120701,bus,40
4001207,27,female,400120702,bus,40
4001103,23,female,400110301,pedestrian,30
4001103,23,female,400110302,pedestrian,30
4001001,72,female,400100101,pedestrian,3
4001001,72,female,400100102,pedestrian,5
4000901,84,female,400090101,bus,56
4000901,84,female,400090102,bus,50
4000903,57,female,400090301,taxi,15
4000903,57,female,400090302,taxi,20
4000904,51,female,400090401,car,10
4000904,51,female,400090402,car,10
4000801,55,female,400080101,car,20
4000801,55,female,400080102,car,20
4000803,77,female,400080301,car,20
4000803,77,female,400080302,car,20
4000601,60,female,400060101,car,20
4000601,60,female,400060102,car,30
4000602,51,female,400060201,car,20
4000602,51,female,400060202,car,20
4000602,51,female,400060203,car,20
4000602,51,female,400060204,car,16
4000603,27,female,400060301,car,15
4000603,27,female,400060302,car,10
4000603,27,female,400060303,bus,40
4000603,27,female,400060304,car,20
4000603,27,female,400060305,taxi,15
4000604,25,female,400060401,car,20
4000604,25,female,400060402,car,20
4000502,39,female,400050201,car,25
4000502,39,female,400050202,car,20
4000401,65,female,400040101,bus,120
4000401,65,female,400040102,bus,180
4000403,47,female,400040301,pedestrian,10
4000403,47,female,400040302,pedestrian,10
4000404,12,female,400040401,pedestrian,5
4000404,12,female,400040402,pedestrian,5
4000405,08,female,400040501,pedestrian,5
4000405,08,female,400040502,pedestrian,5
4000301,52,female,400030101,pedestrian,15
4000301,52,female,400030102,pedestrian,15
4000302,64,female,400030201,bus,55
4000302,64,female,400030202,bus,60
4000303,27,female,400030301,bus,60
4000303,27,female,400030302,car,20
4000203,54,female,400020301,pedestrian,10
4000203,54,female,400020302,pedestrian,10
4000001,70,female,400000101,motorcycle,40
4000001,70,female,400000102,taxi,45
4000005,67,female,400000501,bus,60
4000005,67,female,400000502,bus,60
3053402,21,female,305340201,pedestrian,60
3053402,21,female,305340202,pedestrian,58
3052303,42,female,305230301,motorcycle,15
3052303,42,female,305230302,motorcycle,20
3052305,12,female,305230501,pedestrian,10
3052305,12,female,305230502,pedestrian,10
3052201,62,female,305220101,car,10
3052201,62,female,305220102,car,40
3052101,49,female,305210101,motorcycle,7
3052101,49,female,305210102,motorcycle,20
3052102,50,female,305210201,taxi,30
3052102,50,female,305210202,taxi,40
3052105,06,female,305210501,cycle,5
3052105,06,female,305210502,cycle,5
3052001,51,female,305200101,car,60
3052001,51,female,305200102,car,40
3052001,51,female,305200103,car,25
3052002,24,female,305200201,car,60
3052002,24,female,305200202,car,40
3052002,24,female,305200203,car,25
3051901,26,female,305190101,bus,60
3051801,46,female,305180101,car,60
3051801,46,female,305180102,car,60
3051701,48,female,305170101,car,50
3051701,48,female,305170102,car,60
3051701,48,female,305170103,car,15
3051701,48,female,305170104,car,15
3051701,48,female,305170105,car,15
3051702,46,female,305170201,taxi,30
3051702,46,female,305170202,taxi,15
3051702,46,female,305170203,taxi,60
3051702,46,female,305170204,taxi,40
3051703,20,female,305170301,car,50
3051703,20,female,305170302,car,75
3051601,23,female,305160101,bus,45
3051601,23,female,305160102,bus,30
3051503,17,female,305150301,pedestrian,10
3051503,17,female,305150302,pedestrian,10
3051403,16,female,305140301,car,75
3051403,16,female,305140302,bus,90
3051301,56,female,305130101,bus,130
3051301,56,female,305130102,bus,135
2964701,48,female,296470101,motorcycle,30
2964701,48,female,296470102,motorcycle,20
2964702,45,female,296470201,motorcycle,30
2964702,45,female,296470202,motorcycle,20
2964703,22,female,296470301,car,20
2964601,62,female,296460101,taxi,10
2964601,62,female,296460102,taxi,15
2964603,36,female,296460302,auto_rickshaw,20
2964604,32,female,296460401,motorcycle,20
2964604,32,female,296460402,motorcycle,20
2964605,27,female,296460501,bus,90
2964605,27,female,296460502,bus,30
2963901,34,female,296390101,bus,70
2963901,34,female,296390102,bus,50
2963902,68,female,296390201,car,60
2963902,68,female,296390202,car,28
2963903,38,female,296390301,car,20
2963903,38,female,296390302,car,30
2963903,38,female,296390303,car,20
2963903,38,female,296390304,car,20
2963903,38,female,296390305,car,60
2963903,38,female,296390306,car,30
2963801,71,female,296380101,car,25
2963801,71,female,296380102,car,30
2963802,68,female,296380201,car,25
2963802,68,female,296380202,car,30
2963803,42,female,296380301,bus,35
2963803,42,female,296380302,bus,50
2963601,28,female,296360101,bus,15
2963601,28,female,296360102,bus,15
2963602,58,female,296360201,car,60
