participant_id,age,sex,trip_id,trip_mode,trip_duration
1,55,Male,1,pedestrian,2
1,55,Male,1,pedestrian,2
2,57,Female,2,pedestrian,6
2,57,Female,2,pedestrian,1
2,57,Female,2,pedestrian,4
2,57,Female,2,pedestrian,15
2,57,Female,2,pedestrian,18
3,31,Female,3,NA,NA
4,59,Male,4,pedestrian,35
4,59,Male,4,pedestrian,70
4,59,Male,4,pedestrian,7
4,59,Male,4,pedestrian,7
5,52,Female,5,bus,40
5,52,Female,5,taxi,30
6,36,Male,6,car,70
6,36,Male,6,car,50
7,32,Male,7,taxi,30
7,32,Male,7,taxi,45
8,18,Male,8,cycle,20
8,18,Male,8,cycle,25
8,18,Male,8,pedestrian,40
8,18,Male,8,pedestrian,25
8,18,Male,8,cycle,10
9,80,Male,9,taxi,30
9,80,Male,9,taxi,33
10,68,Female,10,taxi,90
10,68,Female,10,taxi,30
11,48,Male,11,cycle,15
11,48,Male,11,cycle,20
12,42,Female,12,taxi,60
12,42,Female,12,taxi,33
13,22,Male,13,taxi,30
13,22,Male,13,taxi,20
14,20,Male,14,rail,180
14,20,Male,14,rail,120
15,47,Male,15,bus,90
15,47,Male,15,bus,60
16,26,Female,16,NA,NA
17,7,Female,17,car,15
17,7,Female,17,car,30
18,61,Female,18,NA,NA
19,70,Male,19,cycle,10
19,70,Male,19,cycle,10
20,24,Female,20,taxi,15
20,24,Female,20,pedestrian,20
21,54,Male,21,car,5
21,54,Male,21,car,10
21,54,Male,21,car,15
21,54,Male,21,car,5
21,54,Male,21,car,5
21,54,Male,21,car,5
21,54,Male,21,car,10
21,54,Male,21,car,5
21,54,Male,21,car,5
22,55,Female,22,bus,20
22,55,Female,22,bus,27
23,83,Female,23,bus,70
23,83,Female,23,bus,95
24,52,Female,24,taxi,15
24,52,Female,24,taxi,30
24,52,Female,24,bus,70
24,52,Female,24,bus,95
25,41,Male,25,rail,75
25,41,Male,25,pedestrian,20
25,41,Male,25,rail,70
26,41,Female,26,taxi,15
26,41,Female,26,pedestrian,3
26,41,Female,26,pedestrian,10
26,41,Female,26,pedestrian,10
26,41,Female,26,pedestrian,10
26,41,Female,26,pedestrian,10
26,41,Female,26,taxi,20
27,21,Female,27,pedestrian,60
27,21,Female,27,taxi,35
28,9,Male,28,taxi,15
28,9,Male,28,pedestrian,3
28,9,Male,28,taxi,20
29,66,Male,29,pedestrian,2
29,66,Male,29,pedestrian,2
30,29,Female,30,taxi,20
30,29,Female,30,taxi,20
31,32,Male,31,taxi,30
31,32,Male,31,taxi,30
32,64,Female,32,NA,NA
33,56,Male,33,cycle,20
33,56,Male,33,cycle,15
34,51,Female,34,taxi,20
34,51,Female,34,taxi,20
35,22,Male,35,rail,90
35,22,Male,35,rail,90
36,63,Female,36,pedestrian,2
36,63,Female,36,pedestrian,2
37,27,Male,37,rail,90
37,27,Male,37,rail,120
38,61,Male,38,taxi,10
38,61,Male,38,bus,20
39,57,Female,39,pedestrian,10
39,57,Female,39,pedestrian,10
40,54,Male,40,pedestrian,20
40,54,Male,40,pedestrian,20
41,57,Female,41,car,25
41,57,Female,41,car,35
42,25,Female,42,NA,NA
43,19,Female,43,NA,NA
44,34,Male,44,NA,NA
45,56,Male,45,cycle,20
45,56,Male,45,cycle,35
45,56,Male,45,bus,40
45,56,Male,45,bus,40
46,52,Female,46,bus,30
46,52,Female,46,bus,50
46,52,Female,46,bus,40
46,52,Female,46,bus,40
47,22,Male,47,bus,75
47,22,Male,47,bus,105
48,12,Male,48,bus,30
48,12,Male,48,bus,40
49,74,Female,49,bus,50
49,74,Female,49,bus,70
50,43,Male,50,taxi,15
50,43,Male,50,taxi,30
50,43,Male,50,taxi,5
51,30,Female,51,taxi,15
51,30,Female,51,pedestrian,10
51,30,Female,51,pedestrian,15
51,30,Female,51,taxi,15
51,30,Female,51,taxi,25
51,30,Female,51,taxi,5
51,30,Female,51,taxi,15
52,11,Female,52,taxi,15
52,11,Female,52,taxi,15
52,11,Female,52,taxi,15
52,11,Female,52,taxi,15
53,36,Male,53,taxi,40
53,36,Male,53,taxi,140
54,45,Female,54,bus,60
54,45,Female,54,bus,60
55,17,Female,55,pedestrian,20
55,17,Female,55,pedestrian,40
56,22,Male,56,taxi,40
56,22,Male,56,taxi,140
57,38,Male,57,pedestrian,4
57,38,Male,57,pedestrian,4
58,55,Female,58,pedestrian,15
58,55,Female,58,pedestrian,15
59,27,Female,59,pedestrian,15
59,27,Female,59,pedestrian,15
60,55,Male,60,cycle,15
60,55,Male,60,cycle,15
60,55,Male,60,cycle,15
60,55,Male,60,cycle,15
61,25,Male,61,pedestrian,30
61,25,Male,61,pedestrian,25
62,24,Female,62,pedestrian,15
62,24,Female,62,pedestrian,15
62,24,Female,62,pedestrian,15
62,24,Female,62,pedestrian,15
63,64,Male,63,bus,10
63,64,Male,63,bus,10
64,63,Female,64,NA,NA
65,72,Male,65,car,10
65,72,Male,65,car,10
66,72,Female,66,pedestrian,6
66,72,Female,66,pedestrian,6
67,57,Female,67,pedestrian,10
67,57,Female,67,pedestrian,30
67,57,Female,67,car,10
68,31,Male,68,motorcycle,2
68,31,Male,68,motorcycle,5
69,23,Female,69,pedestrian,10
69,23,Female,69,pedestrian,10
70,27,Female,70,pedestrian,15
70,27,Female,70,pedestrian,15
70,27,Female,70,bus,40
70,27,Female,70,taxi,25
70,27,Female,70,bus,100
70,27,Female,70,rail,70
71,8,Male,71,pedestrian,15
71,8,Male,71,pedestrian,15
72,68,Male,72,pedestrian,5
72,68,Male,72,pedestrian,5
72,68,Male,72,pedestrian,5
72,68,Male,72,pedestrian,5
72,68,Male,72,pedestrian,8
72,68,Male,72,pedestrian,8
73,65,Female,73,taxi,10
73,65,Female,73,taxi,5
73,65,Female,73,pedestrian,20
73,65,Female,73,pedestrian,20
73,65,Female,73,pedestrian,5
73,65,Female,73,pedestrian,5
73,65,Female,73,pedestrian,8
73,65,Female,73,pedestrian,8
74,48,Male,74,taxi,15
74,48,Male,74,bus,30
74,48,Male,74,car,35
74,48,Male,74,car,45
75,41,Female,75,NA,NA
76,19,Female,76,bus,73
76,19,Female,76,bus,75
76,19,Female,76,pedestrian,1
76,19,Female,76,pedestrian,1
77,15,Female,77,pedestrian,10
77,15,Female,77,pedestrian,10
77,15,Female,77,pedestrian,5
77,15,Female,77,pedestrian,5
78,3,Female,78,pedestrian,1
78,3,Female,78,pedestrian,1
78,3,Female,78,pedestrian,5
78,3,Female,78,pedestrian,5
79,52,Male,79,bus,60
79,52,Male,79,bus,50
80,47,Female,80,pedestrian,15
80,47,Female,80,pedestrian,15
80,47,Female,80,taxi,25
80,47,Female,80,taxi,20
80,47,Female,80,pedestrian,14
81,7,Female,81,pedestrian,15
81,7,Female,81,pedestrian,15
82,25,Male,82,taxi,10
82,25,Male,82,pedestrian,10
83,66,Female,83,car,90
83,66,Female,83,car,60
84,68,Male,84,car,90
84,68,Male,84,car,60
85,50,Male,85,bus,90
85,50,Male,85,bus,75
86,38,Female,86,bus,130
86,38,Female,86,rail,180
86,38,Female,86,pedestrian,15
86,38,Female,86,pedestrian,15
87,17,Male,87,NA,NA
88,7,Female,88,NA,NA
89,53,Male,89,pedestrian,5
89,53,Male,89,pedestrian,5
90,54,Female,90,pedestrian,10
90,54,Female,90,pedestrian,10
91,23,Male,91,NA,NA
92,27,Male,92,NA,NA
93,30,Female,93,pedestrian,9
93,30,Female,93,pedestrian,10
93,30,Female,93,car,40
93,30,Female,93,car,20
94,30,Male,94,bus,45
94,30,Male,94,bus,15
95,69,Female,95,NA,NA
96,72,Male,96,pedestrian,10
96,72,Male,96,pedestrian,10
97,53,Female,97,car,15
97,53,Female,97,car,15
98,25,Female,98,rail,80
98,25,Female,98,pedestrian,10
98,25,Female,98,bus,55
99,31,Male,99,bus,20
99,31,Male,99,pedestrian,45
99,31,Male,99,pedestrian,5
100,72,Female,100,bus,60
100,72,Female,100,bus,60
101,63,Male,101,pedestrian,60
102,63,Female,102,NA,NA
103,49,Female,103,taxi,10
